name,amenity,country,iso3,source,latitude,longitude,operator,addr_city,building
Ecole franco-arabe,school,Burkina Faso,BFA,OSM,12.37705,-0.60599,,,
ECOLE RIMKIETA,school,Burkina Faso,BFA,OSM,12.37818,-1.58558,,,
Ecole Filles du Cœur de Marie,school,Burkina Faso,BFA,OSM,12.25589,-2.36164,,,
École primaire de Viré-Songdin,school,Burkina Faso,BFA,OSM,13.41573,-2.5547,,,
Ecole primaire de Touri,school,Burkina Faso,BFA,OSM,13.39525,-2.64292,,,
Ecole,school,Burkina Faso,BFA,OSM,12.26233,-1.58894,,,
Ecole,school,Burkina Faso,BFA,OSM,12.27205,-1.56719,,,
Ecole Nasser Hamed,school,Burkina Faso,BFA,OSM,12.41152,-1.63438,,,
Ecole Nasser Hamed,school,Burkina Faso,BFA,OSM,12.41188,-1.63464,,,
CEB I,school,Burkina Faso,BFA,OSM,12.2519,-0.43124,,,
Lycee Privé Oudisongdé,school,Burkina Faso,BFA,OSM,12.40037,-1.46237,,,
Lycee provincial Mollo SANOU,school,Burkina Faso,BFA,OSM,11.16418,-4.2805,,,
Institut National des Sciences de la Santé,university,Burkina Faso,BFA,OSM,11.18205,-4.36221,,,
LYCEE MUNICIPAL SANY SANNON,school,Burkina Faso,BFA,OSM,11.22185,-4.30936,,,
Lycée privé Les Buissonnets,school,Burkina Faso,BFA,OSM,12.31843,-1.65205,,,
Collège Germinal,school,Burkina Faso,BFA,OSM,12.24725,-2.39262,,,
Wend Penga,school,Burkina Faso,BFA,OSM,12.25223,-2.3888,,,
École primaire Centre A &B,school,Burkina Faso,BFA,OSM,12.24965,-2.36736,,,
École primaire Tarwende,school,Burkina Faso,BFA,OSM,12.33662,-1.54014,,,
Complèxe scolaire Berekia,school,Burkina Faso,BFA,OSM,11.12476,-2.0819,,,
École primaire publique Komki A,school,Burkina Faso,BFA,OSM,12.18854,-1.80115,,,
École primaire publique de Vipalogo,school,Burkina Faso,BFA,OSM,12.11816,-1.7641,,,
Collège Sainte Thérèse de Banfora,school,Burkina Faso,BFA,OSM,10.64006,-4.75669,,,
ANPE,school,Burkina Faso,BFA,OSM,10.64684,-4.76168,,,
Association Munyu,school,Burkina Faso,BFA,OSM,10.63782,-4.7611,,,
Institut Sacré Coeur de Banfora,school,Burkina Faso,BFA,OSM,10.64577,-4.74771,,,
Lycée Privé Elkana,school,Burkina Faso,BFA,OSM,11.17749,-4.29715,,,
Cité Universitaire de Kossodo,university,Burkina Faso,BFA,OSM,12.42912,-1.46919,,,
COLLEGE LE RONIER,school,Burkina Faso,BFA,OSM,12.32824,-1.46679,,,
Ecole Djanabamba,school,Burkina Faso,BFA,OSM,10.65021,-4.75958,,,
École A,school,Burkina Faso,BFA,OSM,10.97132,-3.24673,,,
Collège La Salle,school,Burkina Faso,BFA,OSM,12.36422,-1.52551,,,
Lycée Privé la Verdure,university,Burkina Faso,BFA,OSM,12.39089,-1.55662,,,
Ecole superieure SUP MANAGEMENT,university,Burkina Faso,BFA,OSM,12.38766,-1.55692,,,
Ecole,school,Burkina Faso,BFA,OSM,13.59825,-0.71904,,,
Ecole Primaire DIARADOUGOU,school,Burkina Faso,BFA,OSM,11.18881,-4.30208,,,
Complexe Scolaire LE SAVOIRE,school,Burkina Faso,BFA,OSM,11.19684,-4.31911,,,
"École maternelle primaire ""THEA""",school,Burkina Faso,BFA,OSM,12.32978,-1.52539,,,
Groupe scolaire Saint Jean,school,Burkina Faso,BFA,OSM,12.34453,-1.55073,,,
École de Baszaïdo,school,Burkina Faso,BFA,OSM,13.29359,-2.38723,,,
EPP DOUA DRABO,school,Burkina Faso,BFA,OSM,13.07572,-3.07344,,,
Ecole (projet),school,Burkina Faso,BFA,OSM,12.22369,-0.15422,,,
CEG ?,school,Burkina Faso,BFA,OSM,12.22594,-0.12127,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.22802,-0.15752,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.24464,-0.10921,,,
Médersa,school,Burkina Faso,BFA,OSM,12.24255,-0.1206,,,
Ecole primaire Barjongo,school,Burkina Faso,BFA,OSM,12.24176,-0.12945,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.53483,-2.32476,,,
Ecole primaire privée mixte la voie du succès 1,school,Burkina Faso,BFA,OSM,12.38221,-1.55434,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.49562,-2.36962,,,
Lycée communal,school,Burkina Faso,BFA,OSM,12.60166,-2.36481,,,
Ecole,school,Burkina Faso,BFA,OSM,12.59798,-2.36224,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.64272,-2.24836,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.61565,-2.26841,,,
CEG,school,Burkina Faso,BFA,OSM,12.60896,-2.36232,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.62278,-2.31818,,,
Ecole primaire de Gogo-Soum,school,Burkina Faso,BFA,OSM,12.61197,-2.32429,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.52468,-2.30597,,,
CEG,school,Burkina Faso,BFA,OSM,11.93294,-1.41649,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,11.9914,-1.38805,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.23424,-0.06167,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.16319,-0.17805,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.19751,-0.18978,,,
CEG,school,Burkina Faso,BFA,OSM,12.19059,-0.17388,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.20107,-0.17566,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.19279,-0.17405,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.58196,-2.25268,,,
Ecole ?,school,Burkina Faso,BFA,OSM,12.07798,-1.34352,,,
Ecole ?,school,Burkina Faso,BFA,OSM,12.07811,-1.34209,,,
Médersa,school,Burkina Faso,BFA,OSM,12.07325,-1.34782,,,
Centre alpha?,school,Burkina Faso,BFA,OSM,12.10214,-1.35704,,,
Projet d'école,school,Burkina Faso,BFA,OSM,12.09386,-1.37027,,,
Médersa,school,Burkina Faso,BFA,OSM,12.10739,-1.3585,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.11466,-1.29823,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,11.93905,-1.22216,,,
Centre alpha?,school,Burkina Faso,BFA,OSM,12.08257,-1.35003,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.59159,-2.34965,,,
CEG,school,Burkina Faso,BFA,OSM,12.57414,-2.37108,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.58927,-2.36248,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.42758,-2.12988,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.44093,-2.16748,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.39093,-2.16185,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.40253,-2.17399,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.42179,-2.1816,,,
Médersa,school,Burkina Faso,BFA,OSM,11.90452,-1.33803,,,
CEG,school,Burkina Faso,BFA,OSM,12.46246,-2.18853,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.39363,-2.20554,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.42979,-2.21289,,,
CEG,school,Burkina Faso,BFA,OSM,12.4627,-2.20725,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.61586,-2.3342,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.63678,-2.35582,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.65055,-2.35746,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.60852,-2.40185,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.46181,-2.19084,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,11.99915,-1.35871,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.01606,-1.31883,,,
Projet d'école,school,Burkina Faso,BFA,OSM,12.02451,-1.30931,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,11.96229,-1.25774,,,
Préscolaire,kindergarten,Burkina Faso,BFA,OSM,11.99568,-1.24229,,,
CEG,school,Burkina Faso,BFA,OSM,12.48298,-2.37842,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.49043,-2.38442,,,
CEG,school,Burkina Faso,BFA,OSM,12.59565,-2.3861,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.57399,-2.32936,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.57074,-2.37608,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.48909,-2.41553,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.57285,-2.44096,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.53174,-2.48391,,,
CEG,school,Burkina Faso,BFA,OSM,12.55733,-2.49129,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.56448,-2.49944,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.56437,-2.26427,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.55101,-2.30611,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.5769,-2.38283,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.23791,0.04944,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.22332,0.03525,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.19219,0.04983,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.62475,-2.28783,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.19521,0.03577,,,
Centre alpha,school,Burkina Faso,BFA,OSM,12.1956,0.03278,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.16818,0.05298,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.20985,-0.01301,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,11.91987,-1.41391,,,
Ecole primaire,school,Burkina Faso,BFA,OSM,12.1668,-0.23122,,,
